original_index,original_guide,related_index_1,related_index_2,related_index_3,related_index_4,related_index_5
1,a bank transfer for rent or mortgage is still processing on the payment deadline day,914,730,456,,
2,a bank will not speak with you after a death and a bill is due today,537,174,,,
3,a basement or retaining wall is bulging and you fear it may fail,113,563,,,
4,a bathroom extractor fan or vent is dripping water and you suspect a leak or condensation,967,675,,,
5,a benefits payment is suspended for review and you have essential bills due,645,638,456,,
6,a bill you thought was covered is sent to collections with a short deadline,155,27,,,
7,a body donation is declined and you need an alternative funeral plan quickly,281,335,,,
8,a brake system warning light stays on after you park,741,144,,,
9,a buy-now-pay-later payment is about to retry and you cannot afford it,32,719,,,
10,a car door opens from outside but will not open from inside while parked,758,760,,,
11,a car hire company refuses your driving licence and you have no backup plan,530,915,,,
12,a car-share app will not let you end your trip and charges keep running,13,118,,,
13,a car-share vehicle will not unlock even though your booking is active,12,919,,,
14,a carbon monoxide alarm sounds and you feel sick or have a headache,60,763,,,
15,a caregiver has died and a child or dependent adult needs immediate care,278,29,545,,
16,a cash deposit is credited for less than the amount you handed over,727,726,,,
17,a cash withdrawal fails but your account is still charged,383,153,,,
18,a charging-system or battery warning light appears and you have pulled over safely,753,740,,,
19,a chemical has splashed in your eye and it still burns after rinsing,512,499,,,
20,a cheque you deposited is flagged as counterfeit and the bank reverses the funds,21,727,,,
21,a cheque you deposited is returned unpaid and your balance drops,727,20,,,
22,"a chimney pot, cap, or top section looks shifted or loose after high winds",668,451,,,
23,a client disputes your work and stops payment while deadlines are still approaching,26,347,,,
24,a client or customer is being verbally abusive and you are expected to keep engaging,35,338,,,
25,a client or customer sends sexual messages and you feel unsafe or worried about your work,117,178,,,
26,a client stops responding after you submit an invoice that is now overdue,23,338,,,
27,a closed account is sent to collections and you believe it is a billing error,585,6,,,
28,a cloud drive app starts re-downloading everything and you fear data duplication or overwrite,905,778,,,
29,a co-parent has died and you need to manage an immediate child handover,278,146,545,,
30,a colleague is pressuring you to meet alone in a hotel room,336,82,,,
31,a colleague sends you aggressive or intimidating messages outside of working hours,304,178,,,
32,a company warns it will retry a failed payment within 24 hours and you cannot cover it,9,719,,,
33,a coworker repeatedly asks intrusive questions about your sex life,178,336,,,
34,a creditor demands an urgent payment to keep your plan active,97,40,,,
35,a customer or client is threatening you online because of your job,24,304,,,
36,a dashboard warning says a tyre is overheating and you are stopped in a safe place,420,136,,,
37,a date refuses to leave your home or pressures you to let them inside,793,233,,,
38,a date repeatedly ignores your no and keeps pressuring you for sex by text,156,659,,,
39,a death is being investigated and you have no clear timeline,360,243,,,
40,a debt collector threatens legal action or gives you a short deadline,582,581,,,
41,a document says it is locked for editing but you cannot find where it is open,777,524,,,
42,a driver or passenger is asking intrusive questions and you feel unsafe,319,43,,,
43,a driver refuses your seating request and you feel unsafe in the vehicle,319,42,,,
44,a fake account is impersonating you and messaging people about your location or plans,212,928,,,
45,a family member dies at work or in public and investigators want a statement from you,198,39,,,
46,"a fence, retaining wall, or garden wall starts leaning suddenly and may collapse",3,113,,,
47,a ferry or crossing is delayed for hours and you are running low on supplies,132,78,,,
